Benchmarks,CPI,L1d_miss_rate,L1i_miss_rate,L2_miss_rate,L1i_size_kB,L1i_assoc,L1d_size_kB,L1d_assoc,L2_size_MB,L2_assoc,M_cache,A_cache,Performance,Cost
speclibm_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,2.623265,0.060971,9.4e-05,0.999944,32,2,64,2,2,4,35.7,2.5,1.9054362499999997,13.822718125000002
speclibm_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.990458,0.030487,0.000112,0.999799,32,2,64,2,2,4,35.7,2.5,1.45789167,13.598945835
speclibm_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,2.623265,0.060971,9.4e-05,0.999944,32,2,128,2,2,4,58.099999999999994,2.5,1.9054362499999997,21.662718124999998
speclibm_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.990458,0.030487,0.000112,0.999799,32,2,128,2,2,4,58.099999999999994,2.5,1.45789167,21.438945835
speclibm_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,2.623603,0.060971,8.8e-05,0.999967,64,2,64,2,2,4,48.5,2.5,1.90567369,18.302836844999998
speclibm_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.990438,0.030487,9e-05,0.999923,64,2,64,2,2,4,48.5,2.5,1.45788313,18.078941564999997
speclibm_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,2.623603,0.060971,8.8e-05,0.999967,64,2,128,2,2,4,70.9,2.5,1.90567369,26.142836845
speclibm_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.990438,0.030487,9e-05,0.999923,64,2,128,2,2,4,70.9,2.5,1.45788313,25.918941565
speclibm_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,2.620756,0.060971,9.4e-05,0.999944,32,2,64,2,4,4,36.2,2.5,1.90367995,13.996839975
speclibm_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.989132,0.030487,0.000112,0.999799,32,2,64,2,4,4,36.2,2.5,1.4569634699999998,13.773481735
speclibm_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,2.620756,0.060971,9.4e-05,0.999944,32,2,128,2,4,4,58.599999999999994,2.5,1.90367995,21.836839974999997
speclibm_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.989132,0.030487,0.000112,0.999799,32,2,128,2,4,4,58.599999999999994,2.5,1.4569634699999998,21.613481734999997
speclibm_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,2.621112,0.060971,8.8e-05,0.999967,64,2,64,2,4,4,49.0,2.5,1.90392999,18.476964995
speclibm_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.989116,0.030487,9e-05,0.999923,64,2,64,2,4,4,49.0,2.5,1.45695773,18.253478864999998
speclibm_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,2.621112,0.060971,8.8e-05,0.999967,64,2,128,2,4,4,71.4,2.5,1.90392999,26.316964995000003
speclibm_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.989116,0.030487,9e-05,0.999923,64,2,128,2,4,4,71.4,2.5,1.45695773,26.093478865
