Benchmarks,CPI,L1d_miss_rate,L1i_miss_rate,L2_miss_rate,L1i_size_kB,L1i_assoc,L1d_size_kB,L1d_assoc,L2_size_MB,L2_assoc,L1i_size_cost,L1d_size_cost,L2_size_cost,L1i_assoc_cost,L2_assoc_cost,M_cache,A_cache,Performance,Cost
speclibm_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,2.623265,0.060971,9.4e-05,0.999944,32,2,64,2,2,4,3.2,6.4,204.8,0.2,0.4,54.720000000000006,0.25,1.9054362499999997,20.142218125000003
speclibm_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.990458,0.030487,0.000112,0.999799,32,2,64,2,2,4,3.2,6.4,204.8,0.2,0.4,54.720000000000006,0.25,1.45789167,19.918445835000004
speclibm_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,2.623265,0.060971,9.4e-05,0.999944,32,2,128,2,2,4,3.2,12.8,204.8,0.2,0.4,56.96,0.25,1.9054362499999997,20.926218125000002
speclibm_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.990458,0.030487,0.000112,0.999799,32,2,128,2,2,4,3.2,12.8,204.8,0.2,0.4,56.96,0.25,1.45789167,20.702445835000002
speclibm_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,2.623603,0.060971,8.8e-05,0.999967,64,2,64,2,2,4,6.4,6.4,204.8,0.2,0.4,56.0,0.25,1.90567369,20.590336845
speclibm_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.990438,0.030487,9e-05,0.999923,64,2,64,2,2,4,6.4,6.4,204.8,0.2,0.4,56.0,0.25,1.45788313,20.366441565
speclibm_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,2.623603,0.060971,8.8e-05,0.999967,64,2,128,2,2,4,6.4,12.8,204.8,0.2,0.4,58.24,0.25,1.90567369,21.374336845000002
speclibm_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.990438,0.030487,9e-05,0.999923,64,2,128,2,2,4,6.4,12.8,204.8,0.2,0.4,58.24,0.25,1.45788313,21.150441565
speclibm_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,2.620756,0.060971,9.4e-05,0.999944,32,2,64,2,4,4,3.2,6.4,409.6,0.2,0.4,105.92,0.25,1.90367995,38.061339974999996
speclibm_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.989132,0.030487,0.000112,0.999799,32,2,64,2,4,4,3.2,6.4,409.6,0.2,0.4,105.92,0.25,1.4569634699999998,37.837981735
speclibm_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,2.620756,0.060971,9.4e-05,0.999944,32,2,128,2,4,4,3.2,12.8,409.6,0.2,0.4,108.16000000000001,0.25,1.90367995,38.845339975
speclibm_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.989132,0.030487,0.000112,0.999799,32,2,128,2,4,4,3.2,12.8,409.6,0.2,0.4,108.16000000000001,0.25,1.4569634699999998,38.621981735000006
speclibm_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,2.621112,0.060971,8.8e-05,0.999967,64,2,64,2,4,4,6.4,6.4,409.6,0.2,0.4,107.2,0.25,1.90392999,38.509464994999995
speclibm_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.989116,0.030487,9e-05,0.999923,64,2,64,2,4,4,6.4,6.4,409.6,0.2,0.4,107.2,0.25,1.45695773,38.285978865
speclibm_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,2.621112,0.060971,8.8e-05,0.999967,64,2,128,2,4,4,6.4,12.8,409.6,0.2,0.4,109.44000000000001,0.25,1.90392999,39.293464995
speclibm_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.989116,0.030487,9e-05,0.999923,64,2,128,2,4,4,6.4,12.8,409.6,0.2,0.4,109.44000000000001,0.25,1.45695773,39.069978865
