Benchmarks,CPI,L1d_miss_rate,L1i_miss_rate,L2_miss_rate,L1i_size_kB,L1i_assoc,L1d_size_kB,L1d_assoc,L2_size_MB,L2_assoc,L1i_size_cost,L1d_size_cost,L2_size_cost,L1i_assoc_cost,L2_assoc_cost,M_cache,A_cache,Performance,Cost
specsjeng_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,7.040276,0.121831,2e-05,0.999972,32,2,64,2,2,4,3.2,6.4,204.8,0.2,0.4,54.720000000000006,0.25,5.00646797,21.692733985000004
specsjeng_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,4.974806,0.060922,1.5e-05,0.999824,32,2,64,2,2,4,3.2,6.4,204.8,0.2,0.4,54.720000000000006,0.25,3.55149329,20.965246645
specsjeng_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,7.040343,0.121831,2e-05,0.999976,32,2,128,2,2,4,3.2,12.8,204.8,0.2,0.4,56.96,0.25,5.00651511,22.476757555000002
specsjeng_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,4.974776,0.060921,1.5e-05,0.999856,32,2,128,2,2,4,3.2,12.8,204.8,0.2,0.4,56.96,0.25,3.55147406,21.74923703
specsjeng_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,7.043379,0.121831,1.9e-05,0.999979,64,2,64,2,2,4,6.4,6.4,204.8,0.2,0.4,56.0,0.25,5.008640399999999,22.141820199999998
specsjeng_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,4.974854,0.060922,1.3e-05,0.999846,64,2,64,2,2,4,6.4,6.4,204.8,0.2,0.4,56.0,0.25,3.5515280299999996,21.413264015
specsjeng_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,7.040244,0.121831,1.9e-05,0.999983,64,2,128,2,2,4,6.4,12.8,204.8,0.2,0.4,58.24,0.25,5.00644614,22.924723070000002
specsjeng_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,4.974881,0.060921,1.3e-05,0.999877,64,2,128,2,2,4,6.4,12.8,204.8,0.2,0.4,58.24,0.25,3.55154864,22.197274320000002
specsjeng_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,7.038783,0.121831,2e-05,0.999972,32,2,64,2,4,4,3.2,6.4,409.6,0.2,0.4,105.92,0.25,5.005422869999999,39.612211435
specsjeng_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,4.972564,0.060922,1.5e-05,0.999824,32,2,64,2,4,4,3.2,6.4,409.6,0.2,0.4,105.92,0.25,3.54992389,38.884461945
specsjeng_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,7.038783,0.121831,2e-05,0.999976,32,2,128,2,4,4,3.2,12.8,409.6,0.2,0.4,108.16000000000001,0.25,5.005423109999999,40.396211555
specsjeng_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,4.972564,0.060921,1.5e-05,0.999856,32,2,128,2,4,4,3.2,12.8,409.6,0.2,0.4,108.16000000000001,0.25,3.54992566,39.66846283
specsjeng_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,7.038702,0.121831,1.9e-05,0.999979,64,2,64,2,4,4,6.4,6.4,409.6,0.2,0.4,107.2,0.25,5.005366499999999,40.060183249999994
specsjeng_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,4.972596,0.060922,1.3e-05,0.999846,64,2,64,2,4,4,6.4,6.4,409.6,0.2,0.4,107.2,0.25,3.54994743,39.332473715
specsjeng_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,7.038696,0.121831,1.9e-05,0.999983,64,2,128,2,4,4,6.4,12.8,409.6,0.2,0.4,109.44000000000001,0.25,5.00536254,40.84418127000001
specsjeng_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,4.972596,0.060921,1.3e-05,0.999877,64,2,128,2,4,4,6.4,12.8,409.6,0.2,0.4,109.44000000000001,0.25,3.5499491400000003,40.11647457
